climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,hot_water_usage,hot_water_heating_source,annual_variable_cost,annual_kg_co2e
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Piped gas hot water cylinder,463.73509413960443,708.40848693476596
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Piped gas instantaneous,58.75156054901741,89.74973996912180
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Bottled gas instantaneous,112.30223873059343,98.49458642765161
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Hot water heat pump,119.24592979386557,41.76044217839641
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Electric hot water cylinder,334.69166191842731,117.21047267019510
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Piped gas hot water cylinder,495.84477896612060,757.45970934895058
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Piped gas instantaneous,92.82478725341413,141.80049756690761
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Bottled gas instantaneous,177.43241746833567,155.61695630419604
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Hot water heat pump,135.78589300956367,47.55280908514091
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Electric hot water cylinder,444.77147864321182,155.76090226800534
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Piped gas hot water cylinder,547.71426983972367,836.69629940263326
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Piped gas instantaneous,147.86615346820884,225.88249060948473
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Bottled gas instantaneous,282.64270619853471,247.89155379707555
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Hot water heat pump,162.50429512722977,56.90970947295892
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Low,Electric hot water cylinder,266.54701346975116,93.34592101440781
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Low,Piped gas hot water cylinder,463.73509413960443,708.40848693476596
Auckland,Electricity PlanId 77409,Methane PlanId 161165,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Low,Piped gas instantaneous,58.75156054901741,89.74973996912180
