Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
14,1,14,1,20,Monday,896.448
14,1,14,1,21,Monday,854.855
14,1,14,1,22,Monday,709.289
14,1,14,1,23,Monday,563.353
14,1,14,1,24,Monday,478.195
15,1,15,1,1,Tuesday,417.15
15,1,15,1,2,Tuesday,383.285
15,1,15,1,3,Tuesday,371.115
15,1,15,1,4,Tuesday,370.019
15,1,15,1,5,Tuesday,401.484
15,1,15,1,6,Tuesday,475.637
15,1,15,1,7,Tuesday,588.172
15,1,15,1,8,Tuesday,622.447
15,1,15,1,9,Tuesday,614.693
15,1,15,1,10,Tuesday,601.794
15,1,15,1,11,Tuesday,644.683
15,1,15,1,12,Tuesday,671.489
15,1,15,1,13,Tuesday,632.589
15,1,15,1,14,Tuesday,621.253
15,1,15,1,15,Tuesday,668.336
15,1,15,1,16,Tuesday,893.497
15,1,15,1,17,Tuesday,1256.613
15,1,15,1,18,Tuesday,1088.619
15,1,15,1,19,Tuesday,1035.296
15,1,15,1,20,Tuesday,896.448
15,1,15,1,21,Tuesday,854.855
15,1,15,1,22,Tuesday,709.289
15,1,15,1,23,Tuesday,563.353
15,1,15,1,24,Tuesday,478.195
16,1,16,1,1,Wednesday,417.15
16,1,16,1,2,Wednesday,383.285
16,1,16,1,3,Wednesday,371.115
16,1,16,1,4,Wednesday,370.019
16,1,16,1,5,Wednesday,401.484
16,1,16,1,6,Wednesday,475.637
16,1,16,1,7,Wednesday,588.172
16,1,16,1,8,Wednesday,622.447
16,1,16,1,9,Wednesday,614.693
16,1,16,1,10,Wednesday,601.794
16,1,16,1,11,Wednesday,644.683
16,1,16,1,12,Wednesday,671.489
16,1,16,1,13,Wednesday,632.589
16,1,16,1,14,Wednesday,621.253
16,1,16,1,15,Wednesday,668.336
16,1,16,1,16,Wednesday,893.497
16,1,16,1,17,Wednesday,1256.613
16,1,16,1,18,Wednesday,1088.619
16,1,16,1,19,Wednesday,1035.296
16,1,16,1,20,Wednesday,896.448
16,1,16,1,21,Wednesday,854.855
16,1,16,1,22,Wednesday,709.289
16,1,16,1,23,Wednesday,563.353
16,1,16,1,24,Wednesday,478.195
17,1,17,1,1,Thursday,417.15
17,1,17,1,2,Thursday,383.285
17,1,17,1,3,Thursday,371.115
17,1,17,1,4,Thursday,370.019
17,1,17,1,5,Thursday,401.484
17,1,17,1,6,Thursday,475.637
17,1,17,1,7,Thursday,588.172
17,1,17,1,8,Thursday,622.447
17,1,17,1,9,Thursday,614.693
17,1,17,1,10,Thursday,601.794
17,1,17,1,11,Thursday,644.683
17,1,17,1,12,Thursday,671.489
17,1,17,1,13,Thursday,632.589
17,1,17,1,14,Thursday,621.253
17,1,17,1,15,Thursday,668.336
17,1,17,1,16,Thursday,893.497
17,1,17,1,17,Thursday,1256.613
17,1,17,1,18,Thursday,1088.619
