climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,cooktop_type,annual_variable_cost,annual_kg_co2e
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),44.16124661246612,18.883468834688347
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,46.72926829268292,17.082276422764227
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,84.83247696476964,80.32520325203252
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),51.65650406504064,18.883468834688347
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,46.72926829268292,17.082276422764227
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,84.83247696476964,80.32520325203252
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Taupo,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),51.65650406504064,18.883468834688347
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,37.05203387533875,17.082276422764227
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,84.07927371273713,80.32520325203252
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),40.95888098464317,18.883468834688347
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,37.05203387533875,17.082276422764227
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,84.07927371273713,80.32520325203252
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Rotorua,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),40.95888098464317,18.883468834688347
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,37.05203387533875,17.082276422764227
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,84.07927371273713,80.32520325203252
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),40.95888098464317,18.883468834688347
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,37.05203387533875,17.082276422764227
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,84.07927371273713,80.32520325203252
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Bay of Plenty,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),40.95888098464317,18.883468834688347
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,53.50959349593494,17.082276422764227
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,56.64183197831978,80.32520325203252
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),59.151761517615164,18.883468834688347
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,53.50959349593494,17.082276422764227
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,56.64183197831978,80.32520325203252
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 10972,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),59.151761517615164,18.883468834688347
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,37.05203387533875,17.082276422764227
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,84.07927371273713,80.32520325203252
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),40.95888098464317,18.883468834688347
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,37.05203387533875,17.082276422764227
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,84.07927371273713,80.32520325203252
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 72907,Methane PlanId 172244,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),40.95888098464317,18.883468834688347
Taupo,Electricity PlanId 170563,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,49.844552845528455,17.082276422764227
Taupo,Electricity PlanId 170563,Methane PlanId 172266,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,56.64183197831978,80.32520325203252
